Name,City,Cuisine Style,Ranking,Rating,Number of Reviews
Bakers & Roasters,Amsterdam,"['New Zealand', 'Cafe', 'European', 'Contemporary', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",61,4.5,1091
FuLu Mandarijn Amsterdam,Amsterdam,"['Chinese', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",62,4.5,1801
Pesca,Amsterdam,"['Dutch', 'Seafood', 'Mediterranean', 'Gluten Free Options']",63,4.5,756
De Reiger,Amsterdam,"['Dutch', 'Bar', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",64,4.5,530
The Pantry,Amsterdam,"['Dutch', 'European', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",65,4.5,2428
C,Amsterdam,"['International', 'European', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",66,4.5,289
The Lobby Nesplein Restaurant & Bar,Amsterdam,"['Dutch', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",67,4.5,838
Hap-Hmm,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly']",68,4.5,510
The Seafood Bar Spui,Amsterdam,"['Seafood', 'European', 'Gluten Free Options']",69,4.5,1209
La Zoccola del Pacioccone Pizzeria,Amsterdam,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",70,4.5,1098
JUN Indonesian Cuisine,Amsterdam,"['Asian', 'Indonesian', 'Vegetarian Friendly', 'Vegan Options']",71,4.5,416
Sugo Amsterdam,Amsterdam,"['Pizza', 'Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",72,4.5,445
Burger Bar,Amsterdam,"['American', 'Bar', 'Fast Food']",73,4.5,748
Restaurant BREDA,Amsterdam,"['French', 'Dutch', 'European', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",74,4.5,331
Hemelse Modder,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",75,4.5,562
Prins Heerlijk,Amsterdam,"['Dutch', 'Cafe', 'International', 'European', 'Vegetarian Friendly', 'Vegan Options']",76,4.5,425
Taj Indian,Amsterdam,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",77,4.5,1415
Bistrot Neuf Amsterdam,Amsterdam,"['French', 'European', 'Vegetarian Friendly']",78,4.5,546
Vlaams Friteshuis Vleminckx,Amsterdam,"['Belgian', 'Dutch', 'Fast Food', 'Vegetarian Friendly', 'Vegan Options']",79,4.5,1313
Bagels & Beans,Amsterdam,"['American', 'Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",80,4.5,1294
Cafe Piazza,Amsterdam,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",81,4.5,681
Restaurant RED,Amsterdam,"['Steakhouse', 'Seafood', 'European', 'International']",82,4.5,1113
De Belhamel,Amsterdam,"['French', 'Dutch', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",83,4.5,1170
Barbeque Castell,Amsterdam,"['Steakhouse', 'Barbecue', 'European', 'Gluten Free Options']",84,4.5,706
Seasons Restaurant,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",85,4.5,1470
Burger Bar,Amsterdam,"['American', 'Fast Food']",86,4.5,1379
Ava Cyril,Amsterdam,"['Steakhouse', 'Italian', 'Pizza', 'Seafood', 'Vegetarian Friendly', 'Gluten Free Options']",87,4.5,377
Restaurant Lt. Cornelis,Amsterdam,"['Dutch', 'European', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",88,4.5,374
Restaurant Tomaz,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",89,4.5,909
Koh-i-Noor,Amsterdam,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",90,4.5,1654
Cannibale Royale,Amsterdam,"['American', 'Steakhouse', 'Bar', 'Barbecue', 'European', 'Grill', 'Gluten Free Options']",91,4.5,888
Cafe de Klos,Amsterdam,"['American', 'Steakhouse', 'Dutch', 'Bar', 'Barbecue', 'European']",92,4.5,1833
Van Speyk,Amsterdam,"['French', 'Dutch', 'European', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",93,4.5,1129
Foodhallen,Amsterdam,"['Asian', 'Italian', 'French', 'American', 'Indian', 'Dutch', 'Bar', 'Seafood', 'Fast Food', 'Mediterranean', 'Sushi', 'European', 'Spanish', 'Korean', 'Turkish', 'Grill', 'Vietnamese', 'Street Food', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",94,4.5,1480
stout,Amsterdam,"['Dutch', 'European', 'International', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",95,4.5,508
Venus & Adonis,Amsterdam,"['French', 'Dutch', 'International', 'European', 'Grill', 'Steakhouse', 'Vegetarian Friendly', 'Gluten Free Options']",96,4.5,496
Vegan Junk Food Bar,Amsterdam,"['American', 'Bar', 'Fast Food', 'European', 'Pub', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",97,4.5,94
Norling Restaurant Amsterdam,Amsterdam,"['Tibetan', 'Nepali', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",98,4.5,637
Pasta e Basta,Amsterdam,"['Italian', 'International', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options']",99,4.5,867
Looks Restaurant,Amsterdam,"['Dutch', 'French', 'Seafood', 'International', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",100,4.5,563
Molly Malone's Irish Pub,Amsterdam,"['Irish', 'Bar', 'European', 'British', 'Pub', 'International', 'Vegetarian Friendly']",101,4.5,696
Stoop & Stoop Eetcafe,Amsterdam,"['Dutch', 'Bar', 'European', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",102,4.5,475
Rijks,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",103,4.5,1088
Kartika,Amsterdam,"['Asian', 'Indonesian', 'Vegetarian Friendly', 'Vegan Options']",104,4.5,1056
The Lobby Fizeaustraat,Amsterdam,"['Dutch', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",105,4.5,174
Dignita Vondelpark,Amsterdam,"['Dutch', 'Cafe', 'International', 'European', 'Gluten Free Options', 'Vegetarian Friendly', 'Vegan Options']",106,4.5,160
Geflipt Burgers - De Pijp,Amsterdam,"['Bar', 'European', 'American', 'Vegetarian Friendly']",107,4.5,409
Ristorante Italia Oggi,Amsterdam,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",108,4.5,761
Bakers & Roasters,Amsterdam,"['New Zealand', 'Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",109,4.5,181
Jansz.,Amsterdam,"['French', 'International', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",110,4.5,410
Wurst & Schnitzelhaus Prinsengracht,Amsterdam,"['Pub', 'German', 'Bar', 'European', 'Gluten Free Options']",111,4.5,302
La Perla,Amsterdam,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",112,4.5,690
De Biertuin,Amsterdam,"['Dutch', 'Bar', 'European', 'Pub', 'Vegetarian Friendly']",113,4.5,318
Locanda,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options']",114,5,93
Dwaze Zaken,Amsterdam,"['French', 'Dutch', 'Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",115,4.5,388
Restaurant Black and Blue,Amsterdam,"['Steakhouse', 'European', 'International', 'Gluten Free Options', 'Vegetarian Friendly']",116,4.5,1044
IL Pacioccone,Amsterdam,"['Mediterranean', 'Italian', 'European', 'Vegetarian Friendly']",117,4.5,1307
Visaandeschelde,Amsterdam,"['Dutch', 'Seafood', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",118,4.5,522
Toro Dorado / Quality Steaks,Amsterdam,"['Steakhouse', 'International', 'Grill']",119,4.5,1160
Restaurant Olijfje,Amsterdam,"['Mediterranean', 'European', 'Spanish', 'Turkish', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Halal', 'Gluten Free Options']",120,4.5,335
Ristorante Savini,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",121,4.5,664
Calf & Bloom,Amsterdam,"['Bar', 'Cafe', 'European', 'Dutch', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",122,4.5,289
Gollem's Proeflokaal,Amsterdam,"['Belgian', 'Dutch', 'Bar', 'European', 'Pub']",123,4.5,318
Pianeta Terra,Amsterdam,"['Italian', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options']",124,4.5,250
Wok to Walk,Amsterdam,"['Fast Food', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",125,4.5,1998
Yamazato Restaurant,Amsterdam,"['Japanese', 'Sushi', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",126,4.5,1006
De Nachtwacht,Amsterdam,"['Steakhouse', 'Dutch', 'Bar', 'Barbecue', 'European', 'Gluten Free Options']",127,4.5,968
Arles,Amsterdam,"['French', 'Vegetarian Friendly', 'Vegan Options']",128,5,87
La Oliva,Amsterdam,"['Mediterranean', 'European', 'Spanish', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",129,4.5,642
"Cafe de Dam, Louis Bar",Amsterdam,['Pub'],130,4.5,272
The Good Companion,Amsterdam,"['Bar', 'Seafood', 'European', 'British', 'Gastropub', 'Pub', 'Vegetarian Friendly']",131,5,80
Thaise Snackbar Bird,Amsterdam,"['Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options']",132,4.5,436
